Código,Distrito,Sí tiene conexión a internet,No tiene conexión a internet
10101,"Amazonas, Chachapoyas, distrito: Chachapoyas",   1 534,   6 825
10102,"Amazonas, Chachapoyas, distrito: Asunción",0,104
10103,"Amazonas, Chachapoyas, distrito: Balsas",3,352
10104,"Amazonas, Chachapoyas, distrito: Cheto",6,214
10105,"Amazonas, Chachapoyas, distrito: Chiliquin",0,206
10106,"Amazonas, Chachapoyas, distrito: Chuquibamba",1,543
10107,"Amazonas, Chachapoyas, distrito: Granada",0,156
10108,"Amazonas, Chachapoyas, distrito: Huancas",3,120
10109,"Amazonas, Chachapoyas, distrito: La Jalca",27,   1 077
10110,"Amazonas, Chachapoyas, distrito: Leimebamba",58,   1 043
10111,"Amazonas, Chachapoyas, distrito: Levanto",1,251
10112,"Amazonas, Chachapoyas, distrito: Magdalena",9,308
10113,"Amazonas, Chachapoyas, distrito: Mariscal Castilla",6,400
10114,"Amazonas, Chachapoyas, distrito: Molinopampa",4,697
10115,"Amazonas, Chachapoyas, distrito: Montevideo",1,163
10116,"Amazonas, Chachapoyas, distrito: Olleros",2,146
10117,"Amazonas, Chachapoyas, distrito: Quinjalca",0,295
10118,"Amazonas, Chachapoyas, distrito: San Francisco de Daguas",11,91
10119,"Amazonas, Chachapoyas, distrito: San Isidro de Maino",0,187
10120,"Amazonas, Chachapoyas, distrito: Soloco",0,407
10121,"Amazonas, Chachapoyas, distrito: Sonche",0,86
10201,"Amazonas, Bagua, distrito: Bagua",816,   6 673
10202,"Amazonas, Bagua, distrito: Aramango",27,   2 851
10203,"Amazonas, Bagua, distrito: Copallin",31,   1 439
10204,"Amazonas, Bagua, distrito: El Parco",3,385
10205,"Amazonas, Bagua, distrito: Imaza",21,   6 263
10206,"Amazonas, Bagua, distrito: La Peca",56,   1 909
10301,"Amazonas, Bongara, distrito: Jumbilla",49,393
10302,"Amazonas, Bongara, distrito: Chisquilla",2,113
10303,"Amazonas, Bongara, distrito: Churuja",3,86
10304,"Amazonas, Bongara, distrito: Corosha",1,232
10305,"Amazonas, Bongara, distrito: Cuispes",0,225
10306,"Amazonas, Bongara, distrito: Florida",31,   1 639
10307,"Amazonas, Bongara, distrito: Jazan",116,   2 249
10308,"Amazonas, Bongara, distrito: Recta",1,78
10309,"Amazonas, Bongara, distrito: San Carlos",0,183
10310,"Amazonas, Bongara, distrito: Shipasbamba",3,449
10311,"Amazonas, Bongara, distrito: Valera",5,295
10312,"Amazonas, Bongara, distrito: Yambrasbamba",23,   1 637
10401,"Amazonas, Condorcanqui, distrito: Nieva",55,   4 655
10402,"Amazonas, Condorcanqui, distrito: El Cenepa",0,   2 087
10403,"Amazonas, Condorcanqui, distrito: Rio Santiago",2,   3 068
10501,"Amazonas, Luya, distrito: Lamud",43,706
10502,"Amazonas, Luya, distrito: Camporredondo",48,   1 787
10503,"Amazonas, Luya, distrito: Cocabamba",0,559
10504,"Amazonas, Luya, distrito: Colcamar",7,641
10505,"Amazonas, Luya, distrito: Conila",0,527
10506,"Amazonas, Luya, distrito: Inguilpata",0,170
10507,"Amazonas, Luya, distrito: Longuita",0,254
10508,"Amazonas, Luya, distrito: Lonya Chico",1,270
10509,"Amazonas, Luya, distrito: Luya",43,   1 124
10510,"Amazonas, Luya, distrito: Luya Viejo",0,103
10511,"Amazonas, Luya, distrito: María",1,240
10512,"Amazonas, Luya, distrito: Ocalli",39,   1 038
10513,"Amazonas, Luya, distrito: Ocumal",1,896
10514,"Amazonas, Luya, distrito: Pisuquia",3,   1 336
10515,"Amazonas, Luya, distrito: Providencia",1,327
10516,"Amazonas, Luya, distrito: San Cristobal",0,190
10517,"Amazonas, Luya, distrito: San Francisco del Yeso",0,243
10518,"Amazonas, Luya, distrito: San Jerónimo",1,242
10519,"Amazonas, Luya, distrito: San Juan de Lopecancha",0,129
10520,"Amazonas, Luya, distrito: Santa Catalina",2,538
10521,"Amazonas, Luya, distrito: Santo Tomas",63,864
10522,"Amazonas, Luya, distrito: Tingo",17,368
10523,"Amazonas, Luya, distrito: Trita",1,379
10601,"Amazonas, Rodríguez de Mendoza, distrito: San Nicolás",156,   1 611
10602,"Amazonas, Rodríguez de Mendoza, distrito: Chirimoto",0,749
10603,"Amazonas, Rodríguez de Mendoza, distrito: Cochamal",0,186
10604,"Amazonas, Rodríguez de Mendoza, distrito: Huambo",6,987
10605,"Amazonas, Rodríguez de Mendoza, distrito: Limabamba",1,735
10606,"Amazonas, Rodríguez de Mendoza, distrito: Longar",7,486
10607,"Amazonas, Rodríguez de Mendoza, distrito: Mariscal Benavides",7,491
10608,"Amazonas, Rodríguez de Mendoza, distrito: Milpuc",1,162
10609,"Amazonas, Rodríguez de Mendoza, distrito: Omia",16,   2 467
10610,"Amazonas, Rodríguez de Mendoza, distrito: Santa Rosa",1,200
10611,"Amazonas, Rodríguez de Mendoza, distrito: Totora",0,111
10612,"Amazonas, Rodríguez de Mendoza, distrito: Vista Alegre",0,788
10701,"Amazonas, Utcubamba, distrito: Bagua Grande",   1 250,   13 450
10702,"Amazonas, Utcubamba, distrito: Cajaruro",40,   6 854
10703,"Amazonas, Utcubamba, distrito: Cumba",11,   2 310
10704,"Amazonas, Utcubamba, distrito: El Milagro",36,   1 649
10705,"Amazonas, Utcubamba, distrito: Jamalca",23,   1 911
10706,"Amazonas, Utcubamba, distrito: Lonya Grande",44,   3 017
10707,"Amazonas, Utcubamba, distrito: Yamon",2,906
20101,"Áncash, Huaraz, distrito: Huaraz",   5 452,   10 866
20102,"Áncash, Huaraz, distrito: Cochabamba",0,543
20103,"Áncash, Huaraz, distrito: Colcabamba",0,106
20104,"Áncash, Huaraz, distrito: Huanchay",0,573
20105,"Áncash, Huaraz, distrito: Independencia",   6 195,   15 392
20106,"Áncash, Huaraz, distrito: Jangas",128,   1 253
20107,"Áncash, Huaraz, distrito: La Libertad",5,324
20108,"Áncash, Huaraz, distrito: Olleros",9,711
20109,"Áncash, Huaraz, distrito: Pampas Grande",0,385
20110,"Áncash, Huaraz, distrito: Pariacoto",29,   1 405
20111,"Áncash, Huaraz, distrito: Pira",0,   1 041
20112,"Áncash, Huaraz, distrito: Tarica",78,   1 759
20201,"Áncash, Aija, distrito: Aija",58,490
20202,"Áncash, Aija, distrito: Coris",2,542
20203,"Áncash, Aija, distrito: Huacllan",1,122
20204,"Áncash, Aija, distrito: La Merced",2,521
20205,"Áncash, Aija, distrito: Succha",0,267
20301,"Áncash, Antonio Raymondi, distrito: Llamellin",15,899
20302,"Áncash, Antonio Raymondi, distrito: Aczo",1,567
20303,"Áncash, Antonio Raymondi, distrito: Chaccho",1,419
20304,"Áncash, Antonio Raymondi, distrito: Chingas",3,563
20305,"Áncash, Antonio Raymondi, distrito: Mirgas",5,   1 135
20306,"Áncash, Antonio Raymondi, distrito: San Juan de Rontoy",5,314
20401,"Áncash, Asunción, distrito: Chacas",39,   1 303
20402,"Áncash, Asunción, distrito: Acochaca",4,   1 013
20501,"Áncash, Bolognesi, distrito: Chiquian",81,   1 061
20502,"Áncash, Bolognesi, distrito: Abelardo Pardo Lezameta",0,122
20503,"Áncash, Bolognesi, distrito: Antonio Raymondi",4,357
20504,"Áncash, Bolognesi, distrito: Aquia",8,624
20505,"Áncash, Bolognesi, distrito: Cajacay",3,587
20506,"Áncash, Bolognesi, distrito: Canis",0,113
20507,"Áncash, Bolognesi, distrito: Colquioc",14,552
20508,"Áncash, Bolognesi, distrito: Huallanca",39,   1 611
20509,"Áncash, Bolognesi, distrito: Huasta",11,503
20510,"Áncash, Bolognesi, distrito: Huayllacayan",17,414
20511,"Áncash, Bolognesi, distrito: La Primavera",0,165
20512,"Áncash, Bolognesi, distrito: Mangas",2,173
20513,"Áncash, Bolognesi, distrito: Pacllon",3,317
20514,"Áncash, Bolognesi, distrito: San Miguel de Corpanqui",1,148
20515,"Áncash, Bolognesi, distrito: Ticllos",0,257
20601,"Áncash, Carhuaz, distrito: Carhuaz",522,   3 816
20602,"Áncash, Carhuaz, distrito: Acopampa",60,711
20603,"Áncash, Carhuaz, distrito: Amashca",2,506
20604,"Áncash, Carhuaz, distrito: Anta",22,744
20605,"Áncash, Carhuaz, distrito: Ataquero",47,427
20606,"Áncash, Carhuaz, distrito: Marcara",121,   2 599
20607,"Áncash, Carhuaz, distrito: Pariahuanca",6,424
20608,"Áncash, Carhuaz, distrito: San Miguel de Aco",9,702
20609,"Áncash, Carhuaz, distrito: Shilla",7,941
20610,"Áncash, Carhuaz, distrito: Tinco",80,894
20611,"Áncash, Carhuaz, distrito: Yungar",79,773
20701,"Áncash, Carlos Fermín Fitzcarrald, distrito: San Luis",67,   3 066
20702,"Áncash, Carlos Fermín Fitzcarrald, distrito: San Nicolás",0,886
20703,"Áncash, Carlos Fermín Fitzcarrald, distrito: Yauya",9,   1 280
20801,"Áncash, Casma, distrito: Casma",   1 826,   8 823
